地址,行政区,街道,总户数,lng,lat
淞南新新五村,宝山,淞南,1048,121.4933395340326,31.344775848867712
四平路幸福村,虹口,曲阳,1047,121.50390998479907,31.279153910773882
凤凰小区,松江,松江老城,1040,121.2421398964778,31.0175700924501
东明花苑,松江,松江新城,1039,121.2390879933382,31.03286586279885
古美一村,闵行,古美罗阳,1032,121.40917450605568,31.14956802707004
绿地时代嘉苑,青浦,白鹤,1029,121.13876640178101,31.285515639269764
兴日家园,松江,松江老城,1028,121.21337813032042,31.01412137407426
大江苑,松江,松江新城,1027,121.24898534378603,31.032570662666718
新城家园,松江,佘山,1027,121.18709119584304,31.05444484034092
宝虹水岸景苑（东区）,宝山,杨行,1026,121.4416456451554,31.377405290456977
中海紫御豪庭(公寓),普陀,长风,1024,121.38801878248185,31.234964686034317
新月明月园,宝山,月浦,1021,121.40967001137498,31.451686062018073
保利象屿公园悦府,奉贤,南桥,1020,121.49576810297881,30.958026678600213
丽园新村,黄浦,斜土路,1020,121.49007383418163,31.21114479715297
金地天地云墅,宝山,顾村,1017,121.39798476347065,31.368894428589165
未来域,浦东,御桥,1016,121.56411783363872,31.162329302205315
锦龙苑,宝山,上大,1016,121.3856610000098,31.318779423298878
深城投十一街区,嘉定,嘉定新城,1013,121.28127098279795,31.3344838665588
新家坡园景苑,黄浦,打浦桥,1009,121.48789867721976,31.21583622124459
美罗家园罗秀苑,宝山,罗店,1008,121.35745797987964,31.39036089461278
美罗家园宝欣苑六村,宝山,罗店,1008,121.34503603162656,31.388810130576182
古美四村,闵行,古美罗阳,1004,121.40962150287746,31.14722949379337
连城新苑,浦东,高行,1004,121.58727507171935,31.29911741760523
玉兰一村,嘉定,安亭,1002,121.16793501050385,31.303418905388146
三迪曼哈顿,松江,松江新城,1000,121.25327196784909,31.06321687762026
乐莫苑,松江,松江老城,1000,121.25878388062776,31.015368708502823
上海庄园三期,嘉定,外冈,997,121.18196797985853,31.35822790992542
西镇小区(浦东),浦东,洋泾,996,121.54796162938067,31.19831610934011
辰富佳苑,松江,松江大学城,993,121.18686527200728,31.05714971498976
新城枫景,嘉定,嘉定城区,992,121.26657039278825,31.404358600366187
禄德华苑,宝山,杨行,992,121.45722810168424,31.376989319262027
紫薇园,徐汇,康健,992,121.42832485240903,31.17037034954408
五丰苑,松江,松江老城,988,121.25695600857607,31.016892862095013
延吉一村,杨浦,黄兴公园,987,121.54433543952854,31.291049549198394
红梅小区(嘉定),嘉定,安亭,984,121.16461181910024,31.300062907238548
澳丽映象,嘉定,安亭,982,121.15640085758629,31.310442067227672
沁乐佳苑,嘉定,安亭,982,121.1673890204149,31.31400871124624
东方名城,杨浦,中原,982,121.52821462850757,31.324393183007867
新汇绿苑一村,闵行,浦江镇,982,121.52759021634759,31.02990298937489
绿地清猗园(威廉公馆二期),嘉定,南翔,979,121.32419597260893,31.30268488029616
中信泰富朱家角新城(别墅),青浦,朱家角,979,121.05226200659502,31.12646184176374
虹二小区,徐汇,徐家汇,978,121.4318312981367,31.201861397446176
江南名庐,普陀,武宁,977,121.42299700242936,31.242291861294696
农房松江府,松江,松江老城,977,121.19375725154093,31.020994778020135
金地格林春岸城,嘉定,嘉定城区,973,121.24517041994625,31.3814793513644
金江家园,普陀,长征,973,121.37101511680567,31.238989628293886
中冶尚园,宝山,月浦,968,121.41996126878895,31.432330124582947
绿洲雅宾利花园三期,静安,西藏北路,966,121.4798169818687,31.26406483009942
爱德佳苑二期,嘉定,江桥,960,121.3501894306762,31.263351022441224
杨浦欣园,杨浦,黄兴公园,954,121.54603206914523,31.30670112096482
南方城,闵行,古美罗阳,954,121.405966567249,31.13941572620398
南苑二村,嘉定,嘉定城区,953,121.25408412586066,31.37758934382183
宛南六村,徐汇,龙华,952,121.4515517091667,31.185710489339918
盛桥二村,宝山,月浦,948,121.40909446703475,31.458114324017572
城市庭园,杨浦,中原,947,121.52848501846607,31.32143457202249
珠江香樟园,杨浦,东外滩,945,121.548671200903,31.278243315506526
龙湖春江天越,奉贤,奉贤金汇,941,121.51033700140074,30.96270983729479
松江颐景园(公寓),松江,松江老城,941,121.24253479157997,31.02041892518604
乐业一村,宝山,月浦,938,121.4408977159878,31.41728417771543
宝钢七村,宝山,淞宝,938,121.4965630135246,31.41027947347614
中冶锦园,宝山,月浦,937,121.41629187044178,31.434963625190296
